PLAYER NAME          ASSISTS
ZeLLBaby                  33
Yoreo                     27
Schaibs                   26
Coriolis                  24
JaxintheBox               24
Massacre10                23
200QBWOJIUAFK             20
FucKing                   19
CaptainFizz               18
enragedflamingo           18
AquaNova                  17
EzXin                     17
Hebs                      17
OOSalty                   17
Ronnizzy                  17
S2MaRtin                  17
Bizu                      16
LaKeA                     16
DangeRussWiIson           14
DrJackel                  14
SauceShooter              14
guardianForceX            14
l3araka                   14
Conn3ction                13
ERAQAQAQAR                13
Joshiewah                 12
MrNizzy                   12
Happypig12                11
MatumotoKen               11
StarrFish                 11
Xakari                    11
togidono                  11
D0odleBob                 10
DibsOnVayne               10
Kheydotzx                 10
Ramzyisbad                10
FlashFeD                   9
KanchoLegion               9
Obi1conknowbe              9
RoofEooooH                 9
Agatroth15862              8
Cry0F1r3                   8
bigslick417                8
lSpaceYungJook             8
Calliee                    7
DonMinator                 7
Eskuhmoh                   7
KentaroOe                  7
TSMBumbus                  7
Aykachan                   6
GODVA                      6
JrBatman                   6
TheAlmightyDigRa           6
gtrfd03                    6
IbTaeyeon                  5
Jatanasio                  5
JustPlay                   5
LifeForAiur                5
XianJin                    5
AhriComming                4
Anhmeister                 4
PittL                      4
TheOneWhoHunts             4
jockerZK                   4
ChaffererEr                3
HazeElJefe                 3
ImyourMaryJane             3
InfernalBudgie             3
ItsMeYourMom               3
Pydima                     3
SoundArc                   3
Swerdfeger                 3
xBrutality                 3
Elisaberry                 2
Ind0                       2
LesbianRobot               2
ThelastDestiny             2
82342421                   1
Akubakemono                1
ChinatownStreet            1
DiamondSparkLing           1
FFXIIISnow                 1
Flyer02                    1
JMoneyPro                  1
Sephiroths                 1
StayAwesome                1
pinz38                     1
someloveu                  1
uTPTrollKingSin            1
Rukous                     0
XLargeBIGNoob              0
nisanasa                   0
